timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704611744736,1365,HTTP Request,200,,Thread Group 1-2,,true,,121,152,15,15,http://localhost:8080/mono,1365,0,0
1704611744836,1265,HTTP Request,200,,Thread Group 1-3,,true,,121,152,15,15,http://localhost:8080/mono,1265,0,0
1704611744936,1165,HTTP Request,200,,Thread Group 1-4,,true,,121,152,15,15,http://localhost:8080/mono,1165,0,0
1704611744636,1467,HTTP Request,200,,Thread Group 1-1,,true,,121,152,12,12,http://localhost:8080/mono,1467,0,1
1704611745037,1066,HTTP Request,200,,Thread Group 1-5,,true,,121,152,11,11,http://localhost:8080/mono,1066,0,0
1704611745137,1161,HTTP Request,200,,Thread Group 1-6,,true,,121,152,12,12,http://localhost:8080/mono,1161,0,0
1704611745237,1072,HTTP Request,200,,Thread Group 1-7,,true,,121,152,11,11,http://localhost:8080/mono,1072,0,0
1704611745337,1069,HTTP Request,200,,Thread Group 1-8,,true,,121,152,11,11,http://localhost:8080/mono,1069,0,0
1704611745437,1164,HTTP Request,200,,Thread Group 1-9,,true,,121,152,12,12,http://localhost:8080/mono,1164,0,0
1704611745537,1163,HTTP Request,200,,Thread Group 1-10,,true,,121,152,12,12,http://localhost:8080/mono,1163,0,0
1704611745637,1070,HTTP Request,200,,Thread Group 1-11,,true,,121,152,11,11,http://localhost:8080/mono,1070,0,0
1704611745736,1160,HTTP Request,200,,Thread Group 1-12,,true,,121,152,12,12,http://localhost:8080/mono,1160,0,0
1704611745836,1168,HTTP Request,200,,Thread Group 1-13,,true,,121,152,12,12,http://localhost:8080/mono,1168,0,0
1704611745936,1164,HTTP Request,200,,Thread Group 1-14,,true,,121,152,12,12,http://localhost:8080/mono,1164,0,0
1704611746036,1071,HTTP Request,200,,Thread Group 1-15,,true,,121,152,11,11,http://localhost:8080/mono,1071,0,1
1704611746136,1167,HTTP Request,200,,Thread Group 1-16,,true,,121,152,12,12,http://localhost:8080/mono,1167,0,0
1704611746236,1067,HTTP Request,200,,Thread Group 1-17,,true,,121,152,11,11,http://localhost:8080/mono,1067,0,0
1704611746336,1069,HTTP Request,200,,Thread Group 1-18,,true,,121,152,11,11,http://localhost:8080/mono,1069,0,0
1704611746436,1167,HTTP Request,200,,Thread Group 1-19,,true,,121,152,12,12,http://localhost:8080/mono,1167,0,1
1704611746536,1070,HTTP Request,200,,Thread Group 1-20,,true,,121,152,11,11,http://localhost:8080/mono,1070,0,1
1704611746636,1168,HTTP Request,200,,Thread Group 1-21,,true,,121,152,12,12,http://localhost:8080/mono,1168,0,1
1704611746736,1160,HTTP Request,200,,Thread Group 1-22,,true,,121,152,12,12,http://localhost:8080/mono,1160,0,1
1704611746836,1164,HTTP Request,200,,Thread Group 1-23,,true,,121,152,12,12,http://localhost:8080/mono,1164,0,0
1704611746936,1168,HTTP Request,200,,Thread Group 1-24,,true,,121,152,12,12,http://localhost:8080/mono,1168,0,0
1704611747036,1069,HTTP Request,200,,Thread Group 1-25,,true,,121,152,11,11,http://localhost:8080/mono,1069,0,1
1704611747136,1262,HTTP Request,200,,Thread Group 1-26,,true,,121,152,13,13,http://localhost:8080/mono,1262,0,0
1704611747237,1163,HTTP Request,200,,Thread Group 1-27,,true,,121,152,12,12,http://localhost:8080/mono,1163,0,0
1704611747337,1068,HTTP Request,200,,Thread Group 1-28,,true,,121,152,11,11,http://localhost:8080/mono,1068,0,0
1704611747436,1160,HTTP Request,200,,Thread Group 1-29,,true,,121,152,12,12,http://localhost:8080/mono,1160,0,0
