timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704611724014,1383,HTTP Request,200,,Thread Group 1-1,text,true,,165,156,14,14,http://localhost:8080/standard,1383,0,1
1704611724214,1183,HTTP Request,200,,Thread Group 1-3,text,true,,165,156,14,14,http://localhost:8080/standard,1183,0,0
1704611724114,1283,HTTP Request,200,,Thread Group 1-2,text,true,,165,156,14,14,http://localhost:8080/standard,1283,0,0
1704611724314,1083,HTTP Request,200,,Thread Group 1-4,text,true,,165,156,14,14,http://localhost:8080/standard,1083,0,0
1704611724414,1083,HTTP Request,200,,Thread Group 1-5,text,true,,165,156,11,11,http://localhost:8080/standard,1083,0,1
1704611724514,1194,HTTP Request,200,,Thread Group 1-6,text,true,,165,156,12,12,http://localhost:8080/standard,1194,0,1
1704611724615,1096,HTTP Request,200,,Thread Group 1-7,text,true,,165,156,11,11,http://localhost:8080/standard,1096,0,0
1704611724715,1083,HTTP Request,200,,Thread Group 1-8,text,true,,165,156,11,11,http://localhost:8080/standard,1083,0,0
1704611724815,1183,HTTP Request,200,,Thread Group 1-9,text,true,,165,156,12,12,http://localhost:8080/standard,1183,0,0
1704611725014,1093,HTTP Request,200,,Thread Group 1-11,text,true,,165,156,12,12,http://localhost:8080/standard,1093,0,0
1704611724914,1193,HTTP Request,200,,Thread Group 1-10,text,true,,165,156,12,12,http://localhost:8080/standard,1193,0,0
1704611725114,1184,HTTP Request,200,,Thread Group 1-12,text,true,,165,156,12,12,http://localhost:8080/standard,1184,0,0
1704611725214,1192,HTTP Request,200,,Thread Group 1-13,text,true,,165,156,12,12,http://localhost:8080/standard,1192,0,0
1704611725314,1092,HTTP Request,200,,Thread Group 1-14,text,true,,165,156,12,12,http://localhost:8080/standard,1092,0,0
1704611725414,1088,HTTP Request,200,,Thread Group 1-15,text,true,,165,156,11,11,http://localhost:8080/standard,1088,0,1
1704611725513,1089,HTTP Request,200,,Thread Group 1-16,text,true,,165,156,11,11,http://localhost:8080/standard,1089,0,0
1704611725614,1182,HTTP Request,200,,Thread Group 1-17,text,true,,165,156,12,12,http://localhost:8080/standard,1182,0,0
1704611725714,1189,HTTP Request,200,,Thread Group 1-18,text,true,,165,156,12,12,http://localhost:8080/standard,1189,0,0
1704611725814,1089,HTTP Request,200,,Thread Group 1-19,text,true,,165,156,12,12,http://localhost:8080/standard,1089,0,0
1704611725914,1192,HTTP Request,200,,Thread Group 1-20,text,true,,165,156,12,12,http://localhost:8080/standard,1192,0,0
1704611726014,1092,HTTP Request,200,,Thread Group 1-21,text,true,,165,156,11,11,http://localhost:8080/standard,1092,0,0
