timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704612052030,1005,HTTP Request,200,,Thread Group 1-1,,true,,121,152,11,11,http://localhost:8080/mono,1005,0,0
1704612052130,1906,HTTP Request,200,,Thread Group 1-2,,true,,121,152,20,20,http://localhost:8080/mono,1906,0,0
1704612052230,2807,HTTP Request,200,,Thread Group 1-3,,true,,121,152,29,29,http://localhost:8080/mono,2807,0,0
1704612052329,3710,HTTP Request,200,,Thread Group 1-4,,true,,121,152,38,38,http://localhost:8080/mono,3710,0,0
1704612052429,4611,HTTP Request,200,,Thread Group 1-5,,true,,121,152,47,47,http://localhost:8080/mono,4611,0,0
1704612052529,5512,HTTP Request,200,,Thread Group 1-6,,true,,121,152,56,56,http://localhost:8080/mono,5512,0,0
1704612052629,6413,HTTP Request,200,,Thread Group 1-7,,true,,121,152,65,65,http://localhost:8080/mono,6413,0,0
1704612052729,7315,HTTP Request,200,,Thread Group 1-8,,true,,121,152,74,74,http://localhost:8080/mono,7315,0,0
1704612052829,8217,HTTP Request,200,,Thread Group 1-9,,true,,121,152,83,83,http://localhost:8080/mono,8217,0,0
1704612052929,9119,HTTP Request,200,,Thread Group 1-10,,true,,121,152,91,91,http://localhost:8080/mono,9119,0,0
1704612053029,10021,HTTP Request,200,,Thread Group 1-11,,true,,121,152,90,90,http://localhost:8080/mono,10021,0,0
1704612053129,10923,HTTP Request,200,,Thread Group 1-12,,true,,121,152,89,89,http://localhost:8080/mono,10923,0,0
1704612053229,11825,HTTP Request,200,,Thread Group 1-13,,true,,121,152,88,88,http://localhost:8080/mono,11825,0,0
1704612053329,12727,HTTP Request,200,,Thread Group 1-14,,true,,121,152,87,87,http://localhost:8080/mono,12727,0,0
1704612053429,13629,HTTP Request,200,,Thread Group 1-15,,true,,121,152,86,86,http://localhost:8080/mono,13629,0,0
1704612053529,14531,HTTP Request,200,,Thread Group 1-16,,true,,121,152,85,85,http://localhost:8080/mono,14531,0,0
1704612053629,15433,HTTP Request,200,,Thread Group 1-17,,true,,121,152,84,84,http://localhost:8080/mono,15433,0,0
1704612053729,16335,HTTP Request,200,,Thread Group 1-18,,true,,121,152,83,83,http://localhost:8080/mono,16335,0,1
1704612053829,17237,HTTP Request,200,,Thread Group 1-19,,true,,121,152,82,82,http://localhost:8080/mono,17237,0,0
