timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704612179827,1004,HTTP Request,200,,Thread Group 1-1,text,true,,165,156,11,11,http://localhost:8080/standard,1004,0,1
1704612179927,1905,HTTP Request,200,,Thread Group 1-2,text,true,,165,156,20,20,http://localhost:8080/standard,1905,0,0
1704612180026,2807,HTTP Request,200,,Thread Group 1-3,text,true,,165,156,29,29,http://localhost:8080/standard,2807,0,0
1704612180126,3708,HTTP Request,200,,Thread Group 1-4,text,true,,165,156,38,38,http://localhost:8080/standard,3708,0,0
1704612180226,4609,HTTP Request,200,,Thread Group 1-5,text,true,,165,156,47,47,http://localhost:8080/standard,4609,0,0
1704612180326,5510,HTTP Request,200,,Thread Group 1-6,text,true,,165,156,56,56,http://localhost:8080/standard,5510,0,0
1704612180426,6411,HTTP Request,200,,Thread Group 1-7,text,true,,165,156,65,65,http://localhost:8080/standard,6411,0,0
1704612180526,7312,HTTP Request,200,,Thread Group 1-8,text,true,,165,156,74,74,http://localhost:8080/standard,7312,0,0
1704612180626,8213,HTTP Request,200,,Thread Group 1-9,text,true,,165,156,83,83,http://localhost:8080/standard,8213,0,0
1704612180726,9114,HTTP Request,200,,Thread Group 1-10,text,true,,165,156,91,91,http://localhost:8080/standard,9114,0,0
1704612180826,10015,HTTP Request,200,,Thread Group 1-11,text,true,,165,156,90,90,http://localhost:8080/standard,10015,0,0
1704612180926,10916,HTTP Request,200,,Thread Group 1-12,text,true,,165,156,89,89,http://localhost:8080/standard,10916,0,0
1704612181026,11817,HTTP Request,200,,Thread Group 1-13,text,true,,165,156,88,88,http://localhost:8080/standard,11817,0,1
1704612181126,12718,HTTP Request,200,,Thread Group 1-14,text,true,,165,156,87,87,http://localhost:8080/standard,12718,0,1
1704612181226,13619,HTTP Request,200,,Thread Group 1-15,text,true,,165,156,86,86,http://localhost:8080/standard,13619,0,0
1704612181326,14520,HTTP Request,200,,Thread Group 1-16,text,true,,165,156,85,85,http://localhost:8080/standard,14520,0,1
1704612181426,15421,HTTP Request,200,,Thread Group 1-17,text,true,,165,156,84,84,http://localhost:8080/standard,15421,0,1
1704612181527,16321,HTTP Request,200,,Thread Group 1-18,text,true,,165,156,83,83,http://localhost:8080/standard,16321,0,0
1704612181627,17222,HTTP Request,200,,Thread Group 1-19,text,true,,165,156,82,82,http://localhost:8080/standard,17222,0,0
1704612181727,18123,HTTP Request,200,,Thread Group 1-20,text,true,,165,156,81,81,http://localhost:8080/standard,18123,0,0
1704612181827,19024,HTTP Request,200,,Thread Group 1-21,text,true,,165,156,80,80,http://localhost:8080/standard,19024,0,0
1704612181927,19925,HTTP Request,200,,Thread Group 1-22,text,true,,165,156,79,79,http://localhost:8080/standard,19925,0,0
1704612182027,20826,HTTP Request,200,,Thread Group 1-23,text,true,,165,156,78,78,http://localhost:8080/standard,20826,0,0
1704612182127,21727,HTTP Request,200,,Thread Group 1-24,text,true,,165,156,77,77,http://localhost:8080/standard,21727,0,0
1704612182226,22629,HTTP Request,200,,Thread Group 1-25,text,true,,165,156,76,76,http://localhost:8080/standard,22629,0,0
1704612182326,23530,HTTP Request,200,,Thread Group 1-26,text,true,,165,156,75,75,http://localhost:8080/standard,23530,0,0
1704612182426,24431,HTTP Request,200,,Thread Group 1-27,text,true,,165,156,74,74,http://localhost:8080/standard,24431,0,0
1704612182526,25332,HTTP Request,200,,Thread Group 1-28,text,true,,165,156,73,73,http://localhost:8080/standard,25332,0,0
1704612182626,26233,HTTP Request,200,,Thread Group 1-29,text,true,,165,156,72,72,http://localhost:8080/standard,26233,0,0
1704612182726,27134,HTTP Request,200,,Thread Group 1-30,text,true,,165,156,71,71,http://localhost:8080/standard,27134,0,0
1704612182826,28035,HTTP Request,200,,Thread Group 1-31,text,true,,165,156,70,70,http://localhost:8080/standard,28035,0,0
1704612182926,28936,HTTP Request,200,,Thread Group 1-32,text,true,,165,156,69,69,http://localhost:8080/standard,28936,0,0
1704612183026,29837,HTTP Request,200,,Thread Group 1-33,text,true,,165,156,68,68,http://localhost:8080/standard,29837,0,0
1704612183126,30738,HTTP Request,200,,Thread Group 1-34,text,true,,165,156,67,67,http://localhost:8080/standard,30738,0,0
1704612183226,31639,HTTP Request,200,,Thread Group 1-35,text,true,,165,156,66,66,http://localhost:8080/standard,31639,0,1
1704612183327,32539,HTTP Request,200,,Thread Group 1-36,text,true,,165,156,65,65,http://localhost:8080/standard,32539,0,0
1704612183426,33441,HTTP Request,200,,Thread Group 1-37,text,true,,165,156,64,64,http://localhost:8080/standard,33441,0,1
1704612183526,34342,HTTP Request,200,,Thread Group 1-38,text,true,,165,156,63,63,http://localhost:8080/standard,34342,0,1
1704612183626,35243,HTTP Request,200,,Thread Group 1-39,text,true,,165,156,62,62,http://localhost:8080/standard,35243,0,1
1704612183726,36144,HTTP Request,200,,Thread Group 1-40,text,true,,165,156,61,61,http://localhost:8080/standard,36144,0,1
1704612183826,37045,HTTP Request,200,,Thread Group 1-41,text,true,,165,156,60,60,http://localhost:8080/standard,37045,0,0
1704612183926,37946,HTTP Request,200,,Thread Group 1-42,text,true,,165,156,59,59,http://localhost:8080/standard,37946,0,0
1704612184026,38847,HTTP Request,200,,Thread Group 1-43,text,true,,165,156,58,58,http://localhost:8080/standard,38847,0,0
1704612184126,39748,HTTP Request,200,,Thread Group 1-44,text,true,,165,156,57,57,http://localhost:8080/standard,39748,0,0
1704612184226,40649,HTTP Request,200,,Thread Group 1-45,text,true,,165,156,56,56,http://localhost:8080/standard,40649,0,0
1704612184327,41549,HTTP Request,200,,Thread Group 1-46,text,true,,165,156,55,55,http://localhost:8080/standard,41549,0,0
1704612184426,42451,HTTP Request,200,,Thread Group 1-47,text,true,,165,156,54,54,http://localhost:8080/standard,42451,0,0
