timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704611650688,1013,HTTP Request,200,,Thread Group 1-1,text,true,,165,156,11,11,http://localhost:8080/standard,1013,0,1
1704611650787,1009,HTTP Request,200,,Thread Group 1-2,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611650887,1009,HTTP Request,200,,Thread Group 1-3,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,1
1704611650987,1009,HTTP Request,200,,Thread Group 1-4,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,1
1704611651087,1010,HTTP Request,200,,Thread Group 1-5,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,1
1704611651187,1009,HTTP Request,200,,Thread Group 1-6,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,1
1704611651287,1010,HTTP Request,200,,Thread Group 1-7,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,1
1704611651387,1010,HTTP Request,200,,Thread Group 1-8,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,1
1704611651487,1010,HTTP Request,200,,Thread Group 1-9,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,1
1704611651588,1010,HTTP Request,200,,Thread Group 1-10,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,0
1704611651688,1008,HTTP Request,200,,Thread Group 1-11,text,true,,165,156,11,11,http://localhost:8080/standard,1008,0,0
1704611651787,1010,HTTP Request,200,,Thread Group 1-12,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,0
1704611651887,1010,HTTP Request,200,,Thread Group 1-13,text,true,,165,156,11,11,http://localhost:8080/standard,1010,0,0
1704611651988,1009,HTTP Request,200,,Thread Group 1-14,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652088,1009,HTTP Request,200,,Thread Group 1-15,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652187,1009,HTTP Request,200,,Thread Group 1-16,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652287,1009,HTTP Request,200,,Thread Group 1-17,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652387,1009,HTTP Request,200,,Thread Group 1-18,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,1
1704611652487,1009,HTTP Request,200,,Thread Group 1-19,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652588,1009,HTTP Request,200,,Thread Group 1-20,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652687,1009,HTTP Request,200,,Thread Group 1-21,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611652787,1009,HTTP Request,200,,Thread Group 1-22,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,1
1704611652888,1011,HTTP Request,200,,Thread Group 1-23,text,true,,165,156,11,11,http://localhost:8080/standard,1011,0,0
1704611652988,1008,HTTP Request,200,,Thread Group 1-24,text,true,,165,156,11,11,http://localhost:8080/standard,1008,0,0
1704611653088,1009,HTTP Request,200,,Thread Group 1-25,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611653188,1008,HTTP Request,200,,Thread Group 1-26,text,true,,165,156,11,11,http://localhost:8080/standard,1008,0,0
1704611653288,1008,HTTP Request,200,,Thread Group 1-27,text,true,,165,156,11,11,http://localhost:8080/standard,1008,0,0
1704611653388,1007,HTTP Request,200,,Thread Group 1-28,text,true,,165,156,11,11,http://localhost:8080/standard,1007,0,0
1704611653488,1009,HTTP Request,200,,Thread Group 1-29,text,true,,165,156,11,11,http://localhost:8080/standard,1009,0,0
1704611653588,1007,HTTP Request,200,,Thread Group 1-30,text,true,,165,156,11,11,http://localhost:8080/standard,1007,0,0
