timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704611279185,1018,HTTP Request,200,,Thread Group 1-1,,true,,121,152,11,11,http://localhost:8080/mono,1018,0,1
1704611279285,1913,HTTP Request,200,,Thread Group 1-2,,true,,121,152,20,20,http://localhost:8080/mono,1913,0,0
1704611279385,1819,HTTP Request,200,,Thread Group 1-3,,true,,121,152,19,19,http://localhost:8080/mono,1819,0,0
1704611279485,2714,HTTP Request,200,,Thread Group 1-4,,true,,121,152,28,28,http://localhost:8080/mono,2714,0,0
1704611279585,2620,HTTP Request,200,,Thread Group 1-5,,true,,121,152,27,27,http://localhost:8080/mono,2620,0,1
1704611279686,3514,HTTP Request,200,,Thread Group 1-6,,true,,121,152,36,36,http://localhost:8080/mono,3514,0,0
1704611279786,3420,HTTP Request,200,,Thread Group 1-7,,true,,121,152,35,35,http://localhost:8080/mono,3420,0,0
1704611279886,4316,HTTP Request,200,,Thread Group 1-8,,true,,121,152,44,44,http://localhost:8080/mono,4316,0,0
1704611279985,4223,HTTP Request,200,,Thread Group 1-9,,true,,121,152,43,43,http://localhost:8080/mono,4223,0,0
1704611280085,5119,HTTP Request,200,,Thread Group 1-10,,true,,121,152,52,52,http://localhost:8080/mono,5119,0,0
1704611280185,5023,HTTP Request,200,,Thread Group 1-11,,true,,121,152,51,51,http://localhost:8080/mono,5023,0,0
1704611280285,5921,HTTP Request,200,,Thread Group 1-12,,true,,121,152,60,60,http://localhost:8080/mono,5921,0,1
1704611280386,5823,HTTP Request,200,,Thread Group 1-13,,true,,121,152,59,59,http://localhost:8080/mono,5823,0,0
1704611280486,6721,HTTP Request,200,,Thread Group 1-14,,true,,121,152,68,68,http://localhost:8080/mono,6721,0,0
1704611280586,6624,HTTP Request,200,,Thread Group 1-15,,true,,121,152,67,67,http://localhost:8080/mono,6624,0,0
1704611280686,7523,HTTP Request,200,,Thread Group 1-16,,true,,121,152,76,76,http://localhost:8080/mono,7523,0,0
1704611280786,7425,HTTP Request,200,,Thread Group 1-17,,true,,121,152,75,75,http://localhost:8080/mono,7425,0,0
1704611280886,8324,HTTP Request,200,,Thread Group 1-18,,true,,121,152,83,83,http://localhost:8080/mono,8324,0,0
1704611280985,8227,HTTP Request,200,,Thread Group 1-19,,true,,121,152,82,82,http://localhost:8080/mono,8227,0,0
