timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704631898179,1174,HTTP Request,200,,Thread Group 1-38,text,true,,165,156,1213,1213,http://localhost:8080/standard,1174,0,0
1704631898191,1163,HTTP Request,200,,Thread Group 1-50,text,true,,165,156,1213,1213,http://localhost:8080/standard,1163,0,0
1704631898145,1210,HTTP Request,200,,Thread Group 1-5,text,true,,165,156,1213,1213,http://localhost:8080/standard,1210,0,1
1704631898142,1214,HTTP Request,200,,Thread Group 1-2,text,true,,165,156,1213,1213,http://localhost:8080/standard,1214,0,0
1704631898171,1185,HTTP Request,200,,Thread Group 1-31,text,true,,165,156,1212,1212,http://localhost:8080/standard,1185,0,1
1704631898165,1192,HTTP Request,200,,Thread Group 1-25,text,true,,165,156,1212,1212,http://localhost:8080/standard,1192,0,0
1704631898175,1183,HTTP Request,200,,Thread Group 1-35,text,true,,165,156,1213,1213,http://localhost:8080/standard,1183,0,0
1704631898181,1177,HTTP Request,200,,Thread Group 1-41,text,true,,165,156,1212,1212,http://localhost:8080/standard,1177,0,0
1704631898176,1183,HTTP Request,200,,Thread Group 1-36,text,true,,165,156,1211,1211,http://localhost:8080/standard,1183,0,0
1704631898305,1055,HTTP Request,200,,Thread Group 1-165,text,true,,165,156,1213,1213,http://localhost:8080/standard,1055,0,0
1704631898174,1187,HTTP Request,200,,Thread Group 1-34,text,true,,165,156,1213,1213,http://localhost:8080/standard,1187,0,0
1704631898167,1194,HTTP Request,200,,Thread Group 1-27,text,true,,165,156,1212,1212,http://localhost:8080/standard,1194,0,0
1704631898170,1192,HTTP Request,200,,Thread Group 1-30,text,true,,165,156,1212,1212,http://localhost:8080/standard,1192,0,0
1704631898181,1181,HTTP Request,200,,Thread Group 1-40,text,true,,165,156,1210,1210,http://localhost:8080/standard,1181,0,1
1704631898186,1177,HTTP Request,200,,Thread Group 1-45,text,true,,165,156,1210,1210,http://localhost:8080/standard,1177,0,0
1704631898304,1059,HTTP Request,200,,Thread Group 1-164,text,true,,165,156,1209,1209,http://localhost:8080/standard,1059,0,0
1704631898306,1058,HTTP Request,200,,Thread Group 1-166,text,true,,165,156,1209,1209,http://localhost:8080/standard,1058,0,0
1704631898161,1204,HTTP Request,200,,Thread Group 1-21,text,true,,165,156,1208,1208,http://localhost:8080/standard,1204,0,0
1704631898152,1214,HTTP Request,200,,Thread Group 1-11,text,true,,165,156,1208,1208,http://localhost:8080/standard,1214,0,0
1704631898186,1180,HTTP Request,200,,Thread Group 1-46,text,true,,165,156,1207,1207,http://localhost:8080/standard,1180,0,0
1704631898189,1177,HTTP Request,200,,Thread Group 1-49,text,true,,165,156,1208,1208,http://localhost:8080/standard,1177,0,0
1704631898173,1194,HTTP Request,200,,Thread Group 1-33,text,true,,165,156,1206,1206,http://localhost:8080/standard,1194,0,0
1704631898177,1190,HTTP Request,200,,Thread Group 1-37,text,true,,165,156,1206,1206,http://localhost:8080/standard,1190,0,1
1704631898307,1061,HTTP Request,200,,Thread Group 1-167,text,true,,165,156,1205,1205,http://localhost:8080/standard,1061,0,0
1704631898199,1169,HTTP Request,200,,Thread Group 1-59,text,true,,165,156,1205,1205,http://localhost:8080/standard,1169,0,0
